"Date","Bookmaker","Tipster","Sport","Category","Competition","Type of bet","Free bet","Live","Type","Label of bet","Odds","Stake","Gain","Winning bonus","Commission","Profit","State","Closing Odds","Comment"
"02/14/2024 07:54","Novibet","Frosty ","Basketball","","NBA - USA","","","","Simple","O221.5 Heat",1.73,2500,-2500,"","",-2500,"Lost","",""
"02/13/2024 17:56","Caliente","Frosty ","Basketball","","","","","","Simple","O222.5 bucks ",1.909,2500,-2500,"","",-2500,"Lost","",""
"02/13/2024 12:12","Novibet","Vidente","Tennis","","","","","","Simple","Tristán ",1.81,2000,-2000,"","",-2000,"Lost","",""
"02/13/2024 12:11","Novibet","Vidente","Tennis","","","","","","Simple","Kypson ",1.88,2044,3842.72,"","",1798.72,"Won","",""
"02/13/2024 07:54","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","O227.5 nets ",1.88,2500,4700,"","",2200,"Won","",""
"02/13/2024 07:53","Novibet","Frosty ","Basketball","","","","","","Simple","O223.5 OKc",1.9,2500,4750,"","",2250,"Won","",""
"02/13/2024 07:09","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","O214 blazers",1.83,2500,4575,"","",2075,"Won","",""
"02/12/2024 23:25","Novibet","Frosty ","Basketball","","","","","","Simple","O214 Clippers ",1.8,2500,4500,"","",2000,"Won","",""
"02/12/2024 20:56","Novibet","Ruy","Football","","","","","","Simple","Córners pendejos ",1.77,1600,-1600,"","",-1600,"Lost","",""
"02/12/2024 15:15","Novibet","Vidente","Tennis","","","","","","Simple","Borges ",1.62,2200,3564,"","",1364,"Won","",""
"02/12/2024 15:13","Novibet","Vidente","Tennis","","","","","","Simple","Potapova ",2.05,1700,-1700,"","",-1700,"Lost","",""
"02/12/2024 12:33","TeamMexicoBets","Ruy","Football","","","","","","Simple","Madero",1.55,2000,-2000,"","",-2000,"Lost","",""
"02/12/2024 10:28","TeamMexicoBets","Frosty ","Basketball","","NBA - USA","","","","Simple","O230 bucks",1.78,2500,-2500,"","",-2500,"Lost","",""
"02/12/2024 10:27","Novibet","Frosty ","Basketball","","NBA - USA","","","","Simple","O228 76ers",1.72,2500,4300,"","",1800,"Won","",""
"02/12/2024 10:24","Novibet","Frosty ","Basketball","","NBA - USA","","","","Simple","O239.5 GSW",1.79,2500,-2500,"","",-2500,"Lost","",""
"02/12/2024 07:38","Caliente","DJ Serch","Basketball","","","","","","Simple","Así Paolo ",2,3000,6000,"","",3000,"Won","",""
"02/11/2024 18:51","Caliente","DJ Serch","Basketball","","","","","","Simple","Nacional ",1.85,1500,2775,"","",1275,"Won","",""
"02/11/2024 15:08","Caliente","DJ Serch","Football","","","","","","Simple","Guatatoya ",2,3750,7500,"","",3750,"Won","",""
"02/11/2024 14:58","TeamMexicoBets","DJ Serch","Football","","","","","","Simple","Escazu ",1.95,2250,-1125,"","",-1125,"Half Lost","",""
"02/11/2024 11:07","Caliente","Yuca","Football","","","","","","Simple","O3 Turquía ",1.85,2500,4625,"","",2125,"Won","",""
"02/11/2024 08:44","Novibet","Vidente","Tennis","","","","","","Simple","Pliskova ",2.1,2000,4200,"","",2200,"Won","",""
"02/11/2024 00:18","TeamMexicoBets","Frosty ","Basketball","","NBA - USA","","","","Simple","O227 boston",1.9,2500,-2500,"","",-2500,"Lost","",""
"02/11/2024 00:14","Novibet","Frosty ","US Football","","","","","","Simple","Chiefs Over",1.9,2500,-2500,"","",-2500,"Lost","",""
"02/11/2024 00:13","TeamMexicoBets","Frosty ","US Football","","","","","","Simple","KC",1.92,2500,4800,"","",2300,"Won","",""
"02/10/2024 20:35","Novibet","DJ Serch","Football","","","","","","Simple","Ferreti",1.74,3000,-3000,"","",-3000,"Lost","",""
"02/10/2024 19:43","TeamMexicoBets","DJ Serch","Football","","","","","","Simple","Limeño",1.8,1500,2700,"","",1200,"Won","",""
"02/10/2024 18:01","Caliente","DJ Serch","Football","","","","","","Simple","Under 3",1.65,3000,-3000,"","",-3000,"Lost","",""
"02/10/2024 15:10","TeamMexicoBets","DJ Serch","Football","","","","","","Simple","Universidad SC",1.8,2250,4050,"","",1800,"Won","",""
"02/10/2024 14:56","Novibet","DJ Serch","Football","","","","","","Simple","Jocoro ",1.85,1500,-1500,"","",-1500,"Lost","",""
"02/10/2024 12:07","Caliente","Ruy","Football","","","","","","Simple","O2 tritones",1.9,2000,-2000,"","",-2000,"Lost","",""
"02/10/2024 11:29","Novibet","Frosty ","Basketball","","","","","","Simple","76ers ",1.86,1500,2790,"","",1290,"Won","",""
"02/10/2024 11:12","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","Garland",1.95,1500,2925,"","",1425,"Won","",""
"02/10/2024 11:10","Caliente","Frosty ","Basketball","","NBA - USA","","","","Simple","O241 Suns",1.909,1500,-1500,"","",-1500,"Lost","",""
"02/10/2024 10:43","TeamMexicoBets","Ruy","Football","","","","","","Simple","Over 1.5 culero Ruy ",1.3,2000,-2000,"","",-2000,"Lost","",""
"02/10/2024 00:34","Novibet","Frosty ","Basketball","","","","","","Simple","O228.5 Nets",2,1500,-1500,"","",-1500,"Lost","",""
"02/09/2024 19:28","Caliente","Ruy","Football","","","","","","Simple","O0.76",1.66,2000,2660,"","",660,"Half Won","",""
"02/09/2024 18:58","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","Brown",1.87,1500,-1500,"","",-1500,"Lost","",""
"02/09/2024 14:44","Novibet","Ruy","Football","","","","","","Simple","Poza rica",1.62,2777,4498.74,"","",1721.74,"Won","",""
"02/09/2024 14:31","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","U235 rockets",1.83,1500,2745,"","",1245,"Won","",""
